historical_wiring	disposition	current_owner	evidence_path	evidence_label	rationale
DocumentService owns the live Core and workspace projection	stronger-replacement	OutlineRuntimeWorkspace	tests/core/outlineRuntimeWorkspace.test.ts	publishes a candidate only after the transaction record fsyncs	The standalone Runtime is the only live Core and publishes projection, read-model, and search generations together.
DocumentService projection events fan out to renderer consumers	stronger-replacement	Outline Runtime watch plus renderer accepted deltas	tests/renderer/outlineDesktopClient.test.ts	maps exact Runtime Event changes onto the existing delta reducer contract	Accepted local deltas and authenticated Runtime Events replace main-process renderer echo routing without skipping revisions.
DocumentService maintains long-lived sparse reads and text search	stronger-replacement	DocumentReadModel and DocumentTextSearchIndex	tests/core/outlineDocumentService.test.ts	uses Runtime-ranked search and keeps sparse Node reads fresh in input order	The read model and index now live beside the authoritative Core and publish at one revision.
Transient search receives persisted personal access ranking	confirmed-regression-fixed	OutlineDocumentService personal ranking sync	tests/core/outlineDocumentService.test.ts	synchronizes personal access ranking into Runtime and restores it after reconnect	The cutover retained ranking code but initially omitted the desktop-to-Runtime state sync.
Human Node access updates and projection pruning reach Runtime ranking	confirmed-regression-fixed	main recordDocumentNodeAccess and pruneNodeAccessForProjectionUpdate	tests/core/outlineDocumentService.test.ts	keeps recovered desktop production wiring attached to the Runtime service	Main now forwards replace, upsert, and remove updates instead of leaving the Runtime ranker disconnected.
Memory observes committed document projection changes	stronger-replacement	Runtime projection Event observer in main	tests/core/agentMemory.test.ts	reconciles Runtime projection events without full graph scans	Memory consumes immutable sparse Runtime updates; observer failures are contained and reported by main.
Ordinary document mutations and Memory publication share one write gate	confirmed-regression-fixed	OutlineDocumentService runPlannedChanges	tests/core/outlineDocumentService.test.ts	plans Memory publication after earlier document mutations have updated the projection	The cutover kept only the Memory-local mutex; planning and commit are again linearized after already-admitted document mutations.
Memory owns a second mutation authorization and projection filter	explicit-retirement	Runtime authorization and actor-neutral projection	docs/plans/outliner-runtime-recovery.md	Memory mutation authorization as a second Outliner permission model	The private permission/filter model was deliberately retired; Runtime validation, causation, and protected definitions are authoritative.
Memory deterministic definitions are protected from ordinary mutation	confirmed-regression-fixed	Runtime protected definition admission	tests/core/outlineChangeSetCapabilities.test.ts	protects deterministic Memory tags while permitting ordinary tag application	The fixed tag IDs survived the cutover but their mutation protection initially did not.
Workspace saver reports background persistence failure	confirmed-regression-fixed	OutlineDocumentService durability monitor plus main diagnostic handler	tests/core/outlineDocumentService.test.ts	reports a background Runtime durability failure without delaying the accepted edit	Accepted edits remain responsive while failures beyond the durable frontier are surfaced.
Workspace saver coalesces idle writes and forces a maximum dirty age	confirmed-regression-fixed	OutlineRuntimeWorkspace durability scheduler	tests/core/outlineRuntimeWorkspace.test.ts	coalesces sustained accepted edits at the maximum dirty age under one fsync	The cutover initially fsynced every accepted edit; idle and maximum-age coalescing are restored.
Import Pack API and tenon-import writer mutate the document	explicit-retirement	Public outline Skill, CLI, adapter, and ChangeSet	docs/plans/outliner-runtime-recovery.md	Import Pack mutation APIs and the `tenon-import` writer	The private writer was deliberately retired; normalized import planning and one atomic public ChangeSet retain the user workflow.
AssetService owns bytes, metadata, serving, and physical delete	stronger-replacement	OutlineAssetStore plus ContentStore	tests/core/outlineAssets.test.ts	persists immutable logical metadata with verified bytes across Runtime restart	Runtime AssetRecords and shared exact bytes replace the main-process asset store; physical delete is intentionally not public.
Quit freezes admission and drains every admitted mutation	stronger-replacement	AppQuitCoordinator plus Runtime accepted/durable frontier	tests/core/appQuitCoordinator.test.ts	rechecks the barrier when a revision is accepted during drain	Quit closes local admission, waits admitted callers, installs the Runtime barrier, and drains the resulting frontier before teardown.
Startup initializes projection, Memory, ranking, and Runtime ownership	stronger-replacement	OutlineClientSupervisor and main startup sequence	tests/core/outlineRuntimeProcess.test.ts	lets simultaneous desktop and CLI supervisors attach to one standalone instance	One authenticated Runtime owns the workspace while desktop and CLI supervisors attach or replace stale development instances deterministically.
Packaged and source entrypoints expose the same import and Runtime behavior	stronger-replacement	Shared outline launcher and source adapter	tests/core/outlineRuntime.test.ts	runs packaged CLI, Runtime, and source adapter bundles through one launcher	Development, packaged, and adapter paths execute the same public capability surface.
Renderer IPC can invoke arbitrary document commands and path asset operations	stronger-replacement	Narrow preload bridge and desktop Runtime routes	tests/core/outlineRuntimeProcess.test.ts	restricts lifecycle control to desktop and freezes every Runtime mutation origin	Renderer mutations use admitted desktop ChangeSets; private lifecycle, path ingest, export, status, and log routes remain outside the generic renderer surface.
