path	disposition	evidence_path	evidence_label	rationale
docs/spec/architecture.md	stronger-current	docs/spec/architecture.md	reserved for preview, reviewed-Diff planning, revert validation, and other	The original native candidate fork remains for inspection paths, while ordinary accepted desktop commits now use the stronger live-Core transaction boundary without foreground fork cost.
docs/spec/ui-behavior.md	stronger-current	docs/spec/ui-behavior.md	Body, field-value, and Table-hosted node editing all delegate create, split,	The current spec retains the recovered shared optimistic transaction and updates settlement wording for accepted deltas before background durability.
src/core/core.ts	stronger-current	tests/core/coreRuntimeFork.test.ts	uses an isolated native candidate without serializing the workspace	The native fork and independent incremental containers remain, while direct desktop commits no longer need a fork.
src/main/main.ts	equivalent-current	tests/core/outlineRuntimeProcess.test.ts	replaces a same-contract Runtime left by a previous development session	Production wiring still supplies the clone session identity so an Electron restart cannot attach to stale source.
src/outline/client/supervisor.ts	equivalent-current	tests/core/outlineRuntimeProcess.test.ts	reuses a Runtime from the same development session	Supervisor retirement still distinguishes stale and current development sessions without disturbing packaged clients.
src/outline/runtime/server/entry.ts	equivalent-current	tests/core/outlineRuntimeProcess.test.ts	replaces a same-contract Runtime left by a previous development session	The source entry still forwards the development session identity into the Runtime server.
src/outline/runtime/server/runtimeServer.ts	equivalent-current	tests/core/outlineRuntimeProcess.test.ts	retires only when the replacement development session differs	The authenticated retirement route retains its session and contract checks.
src/renderer/api/outlineIntents.ts	stronger-current	tests/renderer/outlineIntents.test.ts	creates and converts unchecked checkbox rows atomically	Stable renderer-reserved IDs and atomic structural intents remain, with accepted direct commit now replacing unnecessary preview for ordinary edits.
src/renderer/state/document.ts	stronger-current	tests/renderer/optimisticNodePatch.test.ts	serializes same-node commands and an older settlement cannot clear its successor	Pending structural, node-patch, and removal state remain and now also guard successor settlement ordering.
src/renderer/state/trailingDraftPlacement.ts	stronger-current	tests/renderer/trailingDraftPlacement.test.ts	replaces a projected row with the optimistic row carrying the same id	Anchor placement and projection suppression remain, with explicit draft-origin semantics added for a continuously mounted next trailing row.
src/renderer/ui/editor/RichTextEditor.tsx	equivalent-current	tests/renderer/eagerMaterializeSpike.test.tsx	a focus-targeted editor mounts before the parent layout phase	The targeted layout-phase EditorView path, passive untargeted path, composition gate, and stable editor identity remain.
src/renderer/ui/outliner/OutlinerFlatView.tsx	stronger-current	tests/renderer/visualRows.test.ts	owned row keys stay stable across reparenting	Flat optimistic placement remains and derived pending collections are memoized so unrelated renders do not invalidate row projection.
src/renderer/ui/outliner/OutlinerItem.tsx	stronger-current	tests/e2e/outliner-row-editing.spec.ts	typing into a pending split row survives settlement without remounting the editor	The shared pending structural path remains and now distinguishes originating trailing drafts so the next draft stays mounted during settlement.
src/renderer/ui/outliner/OutlinerTableView.tsx	stronger-current	tests/e2e/table-view.spec.ts	moves to the next table title before the current text patch settles	Table retains the shared optimistic path and memoizes pending sets and maps to preserve editor and row identity.
